customer_id,customer_number,first_name,last_name,email,phone,date_of_birth,ssn_hash,address,city,state,postal_code,country,kyc_status,credit_score,created_at,is_active
11,CUST000011,Jessica,Miller,jessica.miller11@example.com,555-373-3241,1951-02-28,b788f0006ff41e96ffedc47f5bc1e933d8ed2ca7222952dccbe77411a2eb1f33,3033 Cedar Rd,Miami,TX,34271,USA,VERIFIED,648,2021-01-19T22:19:39,true
12,CUST000012,Charles,Martin,charles.martin12@example.com,555-583-9251,1994-03-30,55a0439f9261b708a2277bcc39c53490d9daa7ba316665f91755d136c289b228,7617 Maple Ave,Atlanta,NC,69728,USA,VERIFIED,840,2022-09-03T12:43:38,true
13,CUST000013,James,Johnson,james.johnson13@example.com,555-414-1533,2001-11-20,6ff26544d4c421641b03327abdf86b31e0c2908580a84f8a8105e85d5aa8edb0,2361 Cedar Rd,Charlotte,GA,90868,USA,VERIFIED,658,2021-01-28T16:26:47,true
14,CUST000014,Charles,Smith,charles.smith14@example.com,555-482-9553,1994-04-06,7c000ac2ea5bd54f836ecf937b1739e5b05b000110ae37955e886376a6e17c39,4829 Washington Blvd,Detroit,MI,89809,USA,VERIFIED,721,2022-03-29T04:14:22,true
15,CUST000015,Mary,Davis,mary.davis15@example.com,555-808-7041,1983-05-16,e524330ca0d88c62886c11a07e1832d446924e3b4287536bfb7c6de4bd05c114,5185 Elm St,Detroit,NY,37724,USA,VERIFIED,594,2020-05-08T01:07:45,true
16,CUST000016,Mary,Rodriguez,mary.rodriguez16@example.com,555-211-5561,1991-12-26,e26047e3a15b4c96d9b04adf7e128c05ea44b4c6da1ac50db921ef59e74ff206,5998 Park Ave,Columbus,GA,17226,USA,VERIFIED,740,2020-03-15T18:46:37,true
17,CUST000017,Michael,Lopez,michael.lopez17@example.com,555-483-8523,1986-04-30,1dbcd7bfcc275628c4cbbac6795355ae7d8e44711e750628240b2a24ba53a9d3,1845 Broad St,Chicago,PA,80220,USA,VERIFIED,815,2020-04-22T20:13:48,true
18,CUST000018,Linda,Lopez,linda.lopez18@example.com,555-934-5541,1985-04-08,3f19b6a14dbbb7b4b520cb44e69903e945bba3d23ad0cf4aefa3c28e9cc90228,4512 Pine St,Houston,IL,41870,USA,VERIFIED,705,2021-09-16T18:42:16,true
19,CUST000019,Richard,Johnson,richard.johnson19@example.com,555-869-8626,1978-03-21,2dd22b48f8b0b96be7c1b3eec603c1d900bc772bb70371b3eb540737380de51b,643 Elm St,Atlanta,MI,20536,USA,VERIFIED,710,2021-01-04T09:29:06,true
20,CUST000020,David,Williams,david.williams20@example.com,555-173-7410,1979-07-28,a853cdaf1c507c675ea108ab44de50260f544242f6e98e42b9eea5c654f72cfa,7907 Maple Ave,Chicago,MI,59047,USA,VERIFIED,609,2020-01-09T00:52:28,true
21,CUST000021,James,Smith,james.smith21@example.com,555-951-5294,1980-10-02,357ed4a72ab953c029e55c7843fd4298308983f46b76dad174944689edc8adff,9204 Cedar Rd,Columbus,CA,86541,USA,VERIFIED,781,2022-04-27T13:19:40,true
22,CUST000022,Charles,Davis,charles.davis22@example.com,555-160-7064,1973-06-17,70e78d180440780e0b072ae299edfb11e453230286427fc38f4432e30a2af2eb,857 Pine St,Chicago,MI,86837,USA,VERIFIED,809,2020-05-04T19:48:43,true
23,CUST000023,William,Martinez,william.martinez23@example.com,555-960-1391,1982-01-16,20846b462e703a73e7f49e8b91a3b9a3b6ee8effe874d9d81312365b7d4e7296,552 High St,Los Angeles,IL,64121,USA,VERIFIED,688,2021-02-05T02:02:13,true
24,CUST000024,Jennifer,Jones,jennifer.jones24@example.com,555-741-4009,1971-07-16,cadbf639603c4bd49027e81c4dab36c4870bec44ca29fa30e019fb868318ff4d,8357 Park Ave,Los Angeles,GA,47791,USA,VERIFIED,581,2020-07-30T06:18:46,true
25,CUST000025,Richard,Martinez,richard.martinez25@example.com,555-399-1508,1954-01-25,8d9a39185012b97f539b4ace9f0ee81e2f9a904c9e8c5012efb6d931c604ffd3,2115 Cedar Rd,Charlotte,NY,84060,USA,VERIFIED,641,2021-03-24T22:33:28,true
26,CUST000026,Robert,Gonzalez,robert.gonzalez26@example.com,555-255-3210,1956-11-10,c13c74ff006abb64f4175f3878c151ea82eb3dca508b1aa3a752e54f0abd4527,3228 Pine St,Houston,NY,81145,USA,VERIFIED,734,2021-05-13T16:28:46,true
27,CUST000027,Linda,Martinez,linda.martinez27@example.com,555-128-1914,1985-06-29,3ac1db673ababd88a0f253d55ff47a9a95bfbd2c2077ca02b964cb36db73ba3c,2821 Broad St,Chicago,TX,99622,USA,VERIFIED,618,2022-05-22T22:49:34,true
28,CUST000028,Susan,Garcia,susan.garcia28@example.com,555-237-4511,1970-07-07,287fc0983333d90669c65e8a82c3f5115df2d882fa7071366a822e9e786e9839,4631 Main St,Houston,PA,32935,USA,VERIFIED,595,2022-01-15T12:31:51,true
29,CUST000029,John,Lopez,john.lopez29@example.com,555-286-5930,1969-09-04,63f2aa0d9e83831d50377466a6e42a691a87b9f3ce10358d3a8e4ceca645cb4b,738 Washington Blvd,Chicago,PA,79900,USA,VERIFIED,624,2020-08-23T19:49:31,true
30,CUST000030,Thomas,Jones,thomas.jones30@example.com,555-244-5745,1996-02-23,260ced660d68788c1fc632ef0a45ce1f85b888cdd70a368a1b9d70cf4cc9d24d,2454 Park Ave,Philadelphia,FL,60363,USA,VERIFIED,693,2021-03-13T15:17:12,true
31,CUST000031,Linda,Smith,linda.smith31@example.com,555-395-8189,1953-10-07,3cf6bbdd71d40a95a20ae766c134c00be31f453da60258397686ecbe644ed015,6401 Washington Blvd,Chicago,NY,65091,USA,VERIFIED,651,2022-09-10T00:14:08,true
32,CUST000032,Elizabeth,Anderson,elizabeth.anderson32@example.com,555-158-4998,1982-09-25,7e6e46602d9509ec030dd6c4077ebf87e3264f4468a033d7ebddadc57936fffe,2111 Maple Ave,Detroit,TX,73021,USA,VERIFIED,756,2022-07-13T00:43:00,true
33,CUST000033,Richard,Davis,richard.davis33@example.com,555-843-4616,1951-05-11,0151d3162e4f440124b237d45c18137781fa08dead386fdc50999efa3654f2be,5340 Washington Blvd,Chicago,NY,33965,USA,VERIFIED,615,2022-10-29T12:15:17,true
34,CUST000034,Joseph,Taylor,joseph.taylor34@example.com,555-761-8912,2004-03-18,efa0aac41fa293c12f3411a04bcb8230371b45b5e0505ec3a7308f9781e539d8,5432 Pine St,Houston,GA,49989,USA,VERIFIED,627,2022-03-17T08:56:37,true
35,CUST000035,Susan,Jones,susan.jones35@example.com,555-657-9817,1995-11-22,3aecb03ff8102f5159c79c602d0436593399fa57a381b24d393dccbbb17a30f3,7936 Park Ave,Charlotte,MI,78586,USA,VERIFIED,691,2020-03-11T03:33:40,true
36,CUST000036,Linda,Davis,linda.davis36@example.com,555-152-3137,1975-01-15,5d15fe4c1ff2ea113522a4e6f11bf9aa072036cb310034ebb4243cd3692c13e2,1313 Washington Blvd,Los Angeles,NY,98074,USA,VERIFIED,674,2020-12-19T00:42:07,true
37,CUST000037,Karen,Martinez,karen.martinez37@example.com,555-412-7384,1974-11-25,e7f02935314061a579bf8e6303f1bab851732157e4540cfc7a1267fa9eba6aa4,7786 Pine St,Philadelphia,NY,85225,USA,VERIFIED,698,2021-08-28T05:20:55,true
38,CUST000038,John,Wilson,john.wilson38@example.com,555-750-3455,1988-05-23,d60ebd7a32e9aae09f412f751f549b6aff205ebf32d0f454db9db3b5f9f3fed7,1537 Main St,Miami,TX,56185,USA,VERIFIED,597,2022-09-28T22:16:33,true
39,CUST000039,Patricia,Martin,patricia.martin39@example.com,555-228-3081,1972-03-26,3834d5f97d10861d752423dad31936f56b505a13140625c4e0593420626be268,4514 Elm St,Chicago,TX,98932,USA,VERIFIED,738,2021-03-09T19:59:50,true
40,CUST000040,Sarah,Brown,sarah.brown40@example.com,555-635-5367,1977-07-27,5c08fe0be8859dc7b4ab93a66e103cda38b578a372386e6bec5b5bd188a6a24b,3822 Oak Ln,New York,NC,48134,USA,VERIFIED,718,2022-10-31T11:04:10,true
41,CUST000041,Jennifer,Jones,jennifer.jones41@example.com,555-545-1817,1960-03-12,ee6f9bc73257053c38a6eb4678edf70faba4f9a0c82ff58e9453ff29b214d799,777 Elm St,Chicago,NC,44600,USA,VERIFIED,769,2021-03-01T10:41:12,true
42,CUST000042,Sarah,Jackson,sarah.jackson42@example.com,555-750-6689,1979-08-05,66f822820abcde6284e651c6676405375824c9b70ff238c2eb547539a49979b6,8668 Washington Blvd,Detroit,MI,28624,USA,VERIFIED,732,2020-06-17T04:55:30,true
43,CUST000043,Robert,Hernandez,robert.hernandez43@example.com,555-496-4834,2001-10-18,2583a0d40fbb102442e871822bf9d6c597fdb812faea9893efaac449f2e50119,185 Broad St,Atlanta,FL,82089,USA,VERIFIED,687,2022-10-12T22:01:42,true
44,CUST000044,James,Rodriguez,james.rodriguez44@example.com,555-494-1270,1992-08-20,cb7a9241b6fbf5a8c40d59ba96410ba141ad25731f2aa0e6b11d3d49d5756d39,8174 Park Ave,New York,FL,66572,USA,VERIFIED,603,2020-08-29T03:01:14,true
45,CUST000045,Michael,Lopez,michael.lopez45@example.com,555-350-3197,1987-05-21,a3f6a1f32293afff3c8e0bb53f6f797df5996bc43b9ca33755e6caf640c66080,238 Cedar Rd,Chicago,NC,83654,USA,VERIFIED,658,2020-07-02T02:17:32,true
46,CUST000046,Sarah,Smith,sarah.smith46@example.com,555-551-4322,1960-03-20,a5e5964cc8bbdff50e7fe5b160540834ff3f4ea7529468eb5d86fe1fafad9932,5018 Park Ave,Houston,IL,34339,USA,VERIFIED,622,2020-08-06T12:48:29,true
47,CUST000047,Jessica,Jones,jessica.jones47@example.com,555-161-8893,1959-12-29,f1d77003670a451a8f5eb65648a9dedb0cd85a6a1d33f43127afccd5d56b042c,1789 High St,Philadelphia,GA,61624,USA,VERIFIED,722,2020-08-14T23:12:47,true
48,CUST000048,Michael,Hernandez,michael.hernandez48@example.com,555-268-5963,1983-04-17,ea055b4f680cecab41d813c71428e13b0d070029bc5159403dfe27d02f1d140d,6258 Elm St,Chicago,OH,54326,USA,VERIFIED,715,2020-08-18T15:04:25,true
49,CUST000049,Elizabeth,Brown,elizabeth.brown49@example.com,555-422-6870,1998-04-11,54c904a0d578e2cef2aa6672bf17b0378e1abb2463513b5645ebf7fbd780f483,993 Oak Ln,Detroit,GA,28821,USA,VERIFIED,820,2020-04-30T15:34:26,true
50,CUST000050,Sarah,Miller,sarah.miller50@example.com,555-321-9035,2004-02-20,c9c506ae581cbac9f7cd0a208acadff49bb036f78d0a2a146a906462b28b060c,9609 Main St,Los Angeles,CA,14830,USA,VERIFIED,584,2020-07-12T19:19:58,true
51,CUST000051,Linda,Jackson,linda.jackson51@example.com,555-114-5457,1979-07-09,fbfd0d0c0a0373ab6d27873e941448ca07c96554e41dd1f2d6f6b7581d6e4864,9023 Pine St,Chicago,GA,41217,USA,VERIFIED,831,2022-11-08T12:38:38,true
52,CUST000052,Thomas,Gonzalez,thomas.gonzalez52@example.com,555-822-3526,1976-12-06,4ea6cc11f90bf46cb1ea1f8efc7649591e7fd489cf70cc8decb057ed9d7715cb,6498 High St,Houston,NC,39216,USA,VERIFIED,639,2022-10-23T13:18:51,true
53,CUST000053,Patricia,Taylor,patricia.taylor53@example.com,555-319-2354,1976-02-25,1706a924de69eb3be0662271fd51ee7cb2162f61310c7931b70b59d116816fb3,4762 Oak Ln,Chicago,OH,37433,USA,VERIFIED,824,2020-02-07T22:09:43,true
54,CUST000054,Joseph,Gonzalez,joseph.gonzalez54@example.com,555-509-6857,1963-06-22,30aef23bf0fe9728ce153d562a0bd912e50e2d565a7929a7d71c5ac99f266633,3147 Washington Blvd,Charlotte,GA,79056,USA,VERIFIED,640,2020-04-30T09:13:49,true
55,CUST000055,Robert,Miller,robert.miller55@example.com,555-584-1198,1950-03-31,0c43be874c656a2b96c059c495ab8887752ffa59b3e788368fc14c977cf9c1e3,7084 Park Ave,Columbus,PA,56193,USA,VERIFIED,782,2020-10-04T14:10:38,true
56,CUST000056,Mary,Johnson,mary.johnson56@example.com,555-484-4012,1967-07-06,5a076f4c7d2cd39df54fb782c3ef4d279211255234bf4372effd056488a17e76,3729 High St,Detroit,IL,33975,USA,VERIFIED,704,2022-01-16T21:54:05,true
57,CUST000057,Mary,Johnson,mary.johnson57@example.com,555-936-3143,1967-01-29,3ab726a5e14dd9b80bfd900c5a1b03d1eb8c328a89eef6d587d10c88c2f16edc,9616 Elm St,New York,PA,49243,USA,VERIFIED,773,2020-03-18T13:19:20,true
58,CUST000058,John,Gonzalez,john.gonzalez58@example.com,555-579-2602,1971-07-15,5256481a1fb042d9908ef5cd555c52b0c15d2cf5fd20b85898953ba92fa42417,8858 Pine St,Chicago,GA,66511,USA,VERIFIED,621,2022-07-21T00:34:41,true
59,CUST000059,Susan,Brown,susan.brown59@example.com,555-571-5163,1994-08-31,763d5f37136efb45d65b40a1ba10cbd1afdc67ad15da522acf00c72f69ac7ac6,4317 Park Ave,Philadelphia,FL,64809,USA,VERIFIED,813,2020-06-28T16:51:12,true
60,CUST000060,Richard,Smith,richard.smith60@example.com,555-236-4867,1957-07-16,e4cd32b810b1712bb633592b61155042173c26ed05bd3b8e3c948d83bdafd14d,7016 Cedar Rd,Los Angeles,CA,74675,USA,VERIFIED,587,2021-01-04T23:34:54,true
61,CUST000061,David,Wilson,david.wilson61@example.com,555-176-3694,1967-12-13,1faa90bcba1435c0572f08ca10132b5b2729d462ad311c7a052732c90cbaf309,6844 Broad St,Chicago,MI,52260,USA,VERIFIED,782,2022-07-07T04:07:28,true
62,CUST000062,Thomas,Brown,thomas.brown62@example.com,555-401-9208,1980-12-04,d17b2563b3f51e554b1f5d3e5873e33e58327360c52daa6af90077b729d000c5,1354 Pine St,Miami,NC,30606,USA,VERIFIED,786,2022-09-13T12:45:10,true
63,CUST000063,Linda,Wilson,linda.wilson63@example.com,555-840-5531,1971-01-14,5763fd329e6a99844eba61b997bdc0d44aaf2f2e387dea5d18ce2585b06108c8,4618 Cedar Rd,Columbus,NC,17777,USA,VERIFIED,721,2021-05-01T12:26:14,true
64,CUST000064,Thomas,Garcia,thomas.garcia64@example.com,555-728-2561,1956-02-23,c83b3a278a71db36b7c0e1b2282fde0ecc73e97641a828d068d869ec120aac83,5393 High St,Columbus,PA,18846,USA,VERIFIED,640,2022-10-05T16:50:24,true
65,CUST000065,Michael,Hernandez,michael.hernandez65@example.com,555-917-8726,1971-01-12,6b027989c0078b7602d071ba84d447b3a5765860d7439892d7805438021d12b2,250 Broad St,Charlotte,GA,76778,USA,VERIFIED,679,2022-10-06T20:51:49,true
66,CUST000066,Michael,Taylor,michael.taylor66@example.com,555-547-5968,1990-02-26,ab22a80d90dff845e29f3a8d968dadb4054b731103a75f79ca8181d3f274480f,9047 Broad St,Columbus,OH,12441,USA,VERIFIED,844,2022-10-28T02:47:24,true
67,CUST000067,Michael,Hernandez,michael.hernandez67@example.com,555-387-8942,1952-08-05,8ff216264441623dfecb2c64f881d76eac551383f3673c2e183b4d3d5c396143,1883 Oak Ln,Columbus,NY,15637,USA,VERIFIED,753,2021-07-08T16:12:32,true
68,CUST000068,David,Gonzalez,david.gonzalez68@example.com,555-727-9935,1993-04-01,86e5515e45c89564a7cb6e7e1fce63579cce5373b481c23911822e27dd1ec4b9,2608 Broad St,Houston,CA,88738,USA,VERIFIED,824,2020-08-06T15:22:19,true
69,CUST000069,Robert,Martinez,robert.martinez69@example.com,555-659-7122,1982-10-11,facaf6c9e57aa2319711811c41c9451c4d621a1df80f4e24df7348dd02b2dde0,7621 Elm St,Miami,NY,97473,USA,VERIFIED,635,2022-11-10T06:07:39,true
70,CUST000070,David,Martin,david.martin70@example.com,555-465-3794,1953-10-20,173f297527b6c1a22480c215555c9c9034f3428a3621304361dbdfc795a2c023,8573 Oak Ln,New York,NY,90400,USA,VERIFIED,674,2020-09-24T21:18:59,true
71,CUST000071,Elizabeth,Jones,elizabeth.jones71@example.com,555-720-6757,1958-06-08,f27d281c9512d1c9c33d1ef4227969ebc230e07c3de07b9b3dcd6ddf2a9969d2,8876 Main St,Chicago,PA,60161,USA,VERIFIED,610,2020-07-15T16:47:32,true
72,CUST000072,Linda,Lopez,linda.lopez72@example.com,555-286-5074,1981-09-05,e7b1cefd5619f769d62697cdf33825ab5a196010124aa07fd62f2b41d5a6ff2c,5037 Cedar Rd,Atlanta,PA,16684,USA,VERIFIED,617,2021-01-18T07:57:46,true
73,CUST000073,James,Garcia,james.garcia73@example.com,555-842-5911,1982-07-17,835f6fe572cbe085f5d0e699a2c939881117ba22d4fa3afc8c1dbe2ff504d970,8482 Oak Ln,Los Angeles,TX,47729,USA,VERIFIED,688,2022-12-25T18:22:53,true
74,CUST000074,William,Martin,william.martin74@example.com,555-947-4916,1961-07-21,4109b0aa24181290867bc3e137ccbdf83b9d2baa66887e70179f91789d66da68,8816 Washington Blvd,Columbus,NC,74106,USA,VERIFIED,707,2022-06-08T10:07:57,true
75,CUST000075,Sarah,Martin,sarah.martin75@example.com,555-467-7980,1963-07-01,c7c6d5cd5020358399db7a8b16b3dfd8346cec6fa1412f54cf5245b59f95eb64,6577 Maple Ave,Houston,NC,18883,USA,VERIFIED,720,2020-06-03T23:52:24,true
76,CUST000076,Karen,Miller,karen.miller76@example.com,555-825-7582,1978-10-02,07c6637bb95e2c3f8f795951edaeff1bc13eb1c04e2c14aa1dd777152b892daa,1071 Park Ave,Philadelphia,IL,33517,USA,VERIFIED,689,2021-10-02T03:00:50,true
77,CUST000077,Joseph,Hernandez,joseph.hernandez77@example.com,555-891-4225,1974-10-25,4ff3458f10c6373eace09a0c86382c60e524bd013f9d9e9601339be34386104e,8121 Oak Ln,Los Angeles,TX,92213,USA,VERIFIED,675,2022-11-17T15:46:03,true
78,CUST000078,Elizabeth,Moore,elizabeth.moore78@example.com,555-857-3599,1955-10-30,bce32032657c6668218de6125afc15d1cc3c5198b9ba4d103d1bdae56403a03a,7322 Park Ave,Philadelphia,NC,12804,USA,VERIFIED,628,2022-04-25T06:12:14,true
79,CUST000079,Karen,Brown,karen.brown79@example.com,555-301-2036,1974-06-28,b06ebee9cb0cfc22851ec344ebb583051a599a92bb199d37c8c9f975a9c4a6db,1278 Park Ave,New York,CA,43884,USA,VERIFIED,630,2021-05-15T19:23:29,true
80,CUST000080,James,Davis,james.davis80@example.com,555-502-7238,1980-05-02,afab81a6c08a578ec7972e8031dbf897a1cff5e38b1e1fcd9cb5b7898ed2e267,6256 Oak Ln,Atlanta,NC,20649,USA,VERIFIED,809,2022-03-22T16:29:35,true
81,CUST000081,Robert,Davis,robert.davis81@example.com,555-698-4395,1983-07-23,44155dc7eb0ea110ed9ea123aa31d37d99de1e180eb467847a383c34596650a7,2844 Maple Ave,Philadelphia,TX,50768,USA,VERIFIED,756,2021-04-01T02:36:19,true
82,CUST000082,Michael,Jackson,michael.jackson82@example.com,555-836-3583,1972-02-29,8e05073a8d38236178e9fd8720d34ee9ae2ee697a72a8b84dbecf734f794a07b,5558 Elm St,Los Angeles,MI,49483,USA,VERIFIED,810,2022-06-11T18:07:00,true
83,CUST000083,Elizabeth,Anderson,elizabeth.anderson83@example.com,555-463-9299,1964-08-20,2c0362a2c5e81549e425c29852ddd3cda3bef2314ad1366177e3708a9f6c5985,8452 Maple Ave,Houston,TX,31101,USA,VERIFIED,724,2020-06-05T06:15:22,true
84,CUST000084,Sarah,Taylor,sarah.taylor84@example.com,555-704-6403,1957-04-05,ec8f27ae32dbac089479e4bbd6d0dfa81bf2ec34d9a2861f3719e51c392245ff,4179 Pine St,New York,NY,21292,USA,VERIFIED,613,2020-06-08T17:44:42,true
85,CUST000085,Patricia,Johnson,patricia.johnson85@example.com,555-529-6377,1984-01-27,feb31a0526b2ad4dee5ab2bd2db0ff5cbc3a1e2b89a92a35fa80f51623ba5c8e,2987 Maple Ave,Charlotte,OH,91767,USA,VERIFIED,802,2022-01-01T05:36:42,true
86,CUST000086,Elizabeth,Wilson,elizabeth.wilson86@example.com,555-758-1772,1957-12-21,59a3d06b6c7a32a83531f1799a5ac2704b953176c2bde313d7d8ff86da768d7f,5333 Maple Ave,Chicago,FL,31207,USA,VERIFIED,725,2020-12-31T14:52:13,true
87,CUST000087,John,Wilson,john.wilson87@example.com,555-520-2381,1977-03-11,7d29af5a2f5b4783ad3c3c89c5a18e5c3dc698cfa11bd9a147a3b4cf5869a4f5,3507 Main St,Columbus,FL,23251,USA,VERIFIED,633,2021-02-09T04:46:05,true
88,CUST000088,Susan,Lopez,susan.lopez88@example.com,555-220-5301,1955-02-15,caba6061ecb2dd0ea8611b082f033a04bb216ea9dda7df02e5ff2c79903778eb,4737 High St,Chicago,IL,40140,USA,VERIFIED,710,2020-01-29T10:21:52,true
89,CUST000089,Robert,Garcia,robert.garcia89@example.com,555-480-5950,2001-01-03,08c4c37a044ee207b262727a5fc934b417269550ccf336807a886cec6c6ccc4e,9560 Elm St,Miami,OH,38852,USA,VERIFIED,695,2020-05-08T01:10:50,true
90,CUST000090,Jessica,Martin,jessica.martin90@example.com,555-617-9823,1999-04-05,55a3809dd53b894d16b2ab938b1f905e4a2442257acd59a4b1011cae23401849,4525 Elm St,Chicago,TX,60807,USA,VERIFIED,695,2021-05-06T04:55:05,true
91,CUST000091,John,Hernandez,john.hernandez91@example.com,555-885-3379,1993-12-30,7434dd033ae16d9070ac9807529516a626bf6ce3d8c9e5c29c797cb02f6a4f70,7129 Broad St,Columbus,NY,22191,USA,VERIFIED,796,2020-11-04T05:36:45,true
92,CUST000092,Susan,Anderson,susan.anderson92@example.com,555-944-7742,1998-03-22,f203d0e42fca9fbfb180a2c6606bbce6b1ccac8d311bed0b346e89928ef3fcd7,7345 Main St,Los Angeles,NC,65258,USA,VERIFIED,824,2021-09-02T14:03:23,true
93,CUST000093,John,Brown,john.brown93@example.com,555-339-9596,2003-01-22,060d9f33f2c8c9098a21674866849dd7e290d94c672ad616e4da2b541135bf6c,8040 Washington Blvd,Houston,NY,26007,USA,VERIFIED,788,2022-06-12T13:05:10,true
94,CUST000094,Barbara,Gonzalez,barbara.gonzalez94@example.com,555-273-9487,2003-08-11,dc21cd3b4c52806c1d47ea8dfb8d7d0ba87f43dd755aa02d69232bb2c1effcdb,7938 Washington Blvd,New York,PA,97432,USA,VERIFIED,659,2020-02-08T17:56:11,true
95,CUST000095,Patricia,Lopez,patricia.lopez95@example.com,555-260-8691,1978-09-23,9a32cb1621fa336c4f961594820c4526f9278421c538b43a059b046a754446a3,3392 Washington Blvd,Houston,MI,91991,USA,VERIFIED,712,2020-10-02T16:41:33,true
96,CUST000096,Richard,Smith,richard.smith96@example.com,555-936-3230,2003-12-09,6da3358c3be696f1d5c209b22ca439979ef65309fb95a7ea57f0c632ded6b307,2533 High St,Charlotte,TX,62336,USA,VERIFIED,827,2022-09-04T03:54:47,true
97,CUST000097,James,Williams,james.williams97@example.com,555-815-6992,1969-02-02,c78b84e6528776b8e55db78dfc838c17d21a0ca50fc47828148d8f260fb64872,4868 Cedar Rd,Philadelphia,OH,55377,USA,VERIFIED,738,2020-08-11T18:41:14,true
98,CUST000098,Susan,Williams,susan.williams98@example.com,555-697-1703,1973-01-21,27cba73506d765eb0605103616a5c253b1c0fc5b47adaa5d6adb5eeeecc41f7e,6617 Elm St,Houston,CA,62393,USA,VERIFIED,848,2022-09-03T20:51:09,true
99,CUST000099,Barbara,Davis,barbara.davis99@example.com,555-687-4954,1979-01-11,02fd2bcb605863e647611a079d7ca765758e479398c5bd7ccbc77fdfd2b703b3,3040 Maple Ave,Detroit,MI,86695,USA,VERIFIED,684,2020-09-23T09:46:40,true
100,CUST000100,John,Anderson,john.anderson100@example.com,555-193-7926,1992-04-01,37a153a3fc6229c7698c3cc68fbae62b3ac1c6fbd5da99d13a80db2ae467c1c5,9624 Main St,New York,GA,77059,USA,VERIFIED,580,2020-01-30T23:02:39,true
101,CUST000101,Karen,Davis,karen.davis101@example.com,555-635-8027,1996-06-26,db5e835cddd5fd7d30228237e1adeeff032b3f99132b4601da186ad5d67e97c6,7354 Washington Blvd,Detroit,NC,26288,USA,VERIFIED,617,2020-10-02T15:46:47,true
102,CUST000102,James,Brown,james.brown102@example.com,555-283-8191,1980-09-21,deff40b26a87f9a28590a9e7f5df614d21d032b5bacef944703f042bced03361,4715 Pine St,Chicago,PA,18462,USA,VERIFIED,728,2021-11-18T19:07:11,true
103,CUST000103,Charles,Lopez,charles.lopez103@example.com,555-134-7387,1988-03-08,646170683d09c3539bf3acd8b4d3039459aa16e3270238cae42b2db181d7cb81,8343 Elm St,Chicago,TX,45654,USA,VERIFIED,738,2021-01-10T23:06:51,true
104,CUST000104,Susan,Martin,susan.martin104@example.com,555-352-9618,1987-05-28,ecb105391133fa813e8af3ac1e6d04af27d0ac79d890233fc0019e7340430fd9,5439 Broad St,Chicago,CA,90777,USA,VERIFIED,779,2021-12-23T00:35:39,true
