account_id,account_number,customer_id,branch_id,account_type,balance,interest_rate,overdraft_limit,status,opened_at,closed_at
45,3889197326370122,99,10,MONEY_MARKET,107888.86,0.0441,0.00,ACTIVE,2020-08-26T03:39:35,
46,7751641720038782,193,12,SAVINGS,194365.28,0.0086,0.00,ACTIVE,2022-07-08T22:19:04,
47,2084501878979982,164,18,SAVINGS,139009.69,0.0200,0.00,ACTIVE,2020-12-06T14:19:24,
48,3466783786065485,132,14,MONEY_MARKET,362909.56,0.0339,0.00,ACTIVE,2021-07-24T04:47:07,
49,7581797096631181,36,15,CD,131532.65,0.0246,0.00,ACTIVE,2020-10-22T17:26:01,
50,1477840774946382,198,15,BUSINESS,213606.39,0.0109,0.00,ACTIVE,2021-04-01T21:39:34,
51,4329532252896086,153,5,BUSINESS,107482.05,0.0053,0.00,ACTIVE,2020-12-06T04:04:04,
52,8087376030683310,61,7,CHECKING,130289.62,0.0445,2650.55,ACTIVE,2022-06-25T00:47:37,
53,7634660466860382,106,19,CHECKING,434633.19,0.0395,2178.88,ACTIVE,2022-04-13T18:10:09,
54,3584763483708506,149,3,BUSINESS,405505.13,0.0149,0.00,ACTIVE,2020-05-07T01:03:22,
55,3894992273403282,183,18,BUSINESS,177389.44,0.0183,0.00,ACTIVE,2020-06-16T06:34:06,
56,1137151058547472,13,8,CD,461042.53,0.0086,0.00,ACTIVE,2022-11-09T17:15:10,
57,2993112557283937,106,8,SAVINGS,47763.90,0.0273,0.00,ACTIVE,2021-10-28T05:29:55,
58,5578370535336651,58,8,MONEY_MARKET,55718.33,0.0411,0.00,ACTIVE,2020-04-30T12:30:45,
59,9596422009954716,195,7,SAVINGS,99479.42,0.0358,0.00,ACTIVE,2022-04-11T10:16:12,
60,9873848696221788,72,13,MONEY_MARKET,496874.41,0.0355,0.00,ACTIVE,2020-04-23T07:52:18,
61,9086522206501539,107,4,SAVINGS,155555.52,0.0484,0.00,ACTIVE,2022-01-10T12:30:45,
62,8500860828647454,26,11,CHECKING,11112.06,0.0290,4109.82,ACTIVE,2021-11-13T21:50:55,
63,1919638305032560,73,12,BUSINESS,117931.60,0.0272,0.00,ACTIVE,2020-09-08T04:21:31,
64,8805513335325567,168,19,BUSINESS,330225.70,0.0167,0.00,ACTIVE,2022-02-21T06:45:26,
65,9137586694028039,175,3,SAVINGS,51095.37,0.0297,0.00,ACTIVE,2021-03-30T20:37:18,
66,5941340539475904,184,16,SAVINGS,188382.86,0.0305,0.00,ACTIVE,2022-01-31T21:29:26,
67,8622725442732176,116,12,CHECKING,292931.91,0.0183,473.08,ACTIVE,2020-12-21T21:21:03,
68,1962210614851240,109,11,MONEY_MARKET,9505.03,0.0482,0.00,ACTIVE,2021-11-05T01:28:28,
69,2704000449703143,77,11,BUSINESS,146848.29,0.0396,0.00,ACTIVE,2021-06-10T23:46:39,
70,3060006629554519,56,16,BUSINESS,232829.23,0.0349,0.00,ACTIVE,2021-11-26T01:08:09,
71,5789198283625958,20,9,MONEY_MARKET,140714.58,0.0279,0.00,ACTIVE,2020-02-11T12:05:23,
72,7537675111960076,7,1,CHECKING,143209.86,0.0306,2506.24,ACTIVE,2022-03-08T13:05:29,
73,6323046193693732,4,17,CHECKING,103979.60,0.0216,460.94,ACTIVE,2021-08-19T19:06:33,
74,6939831007733127,62,12,SAVINGS,497425.77,0.0209,0.00,ACTIVE,2020-12-19T15:34:41,
75,3453829560808520,96,1,CHECKING,426601.14,0.0369,3524.85,ACTIVE,2022-08-26T10:01:44,
76,2804470602664696,86,2,MONEY_MARKET,213733.28,0.0311,0.00,ACTIVE,2020-07-28T00:32:43,
77,7023700689896912,67,10,CHECKING,168641.82,0.0395,1545.67,ACTIVE,2020-06-26T12:33:13,
78,3339790652412676,172,1,MONEY_MARKET,12453.68,0.0339,0.00,ACTIVE,2020-08-16T21:28:40,
79,2822991430773106,69,4,SAVINGS,293206.37,0.0434,0.00,ACTIVE,2020-11-21T15:36:41,
80,7021598084322679,93,17,CD,307075.27,0.0394,0.00,ACTIVE,2020-09-02T19:33:48,
81,6871673462878609,191,13,BUSINESS,159650.40,0.0351,0.00,ACTIVE,2021-01-10T11:29:41,
82,7871310667178207,21,7,CD,49752.18,0.0029,0.00,ACTIVE,2020-01-31T11:57:38,
83,6752759958491145,59,17,MONEY_MARKET,167618.44,0.0180,0.00,ACTIVE,2022-01-13T21:19:26,
84,2694057322866157,56,3,SAVINGS,246506.32,0.0453,0.00,ACTIVE,2021-03-06T11:00:23,
85,2048321307307984,30,6,BUSINESS,258573.48,0.0206,0.00,ACTIVE,2020-11-07T23:11:14,
86,5103651450751100,128,7,CD,247007.48,0.0112,0.00,ACTIVE,2022-08-28T11:29:32,
87,4827704404404214,127,12,SAVINGS,350502.83,0.0199,0.00,ACTIVE,2022-08-08T14:06:44,
88,2828772915748118,61,16,MONEY_MARKET,499632.33,0.0190,0.00,ACTIVE,2021-08-11T19:01:33,
89,4628966539679691,75,15,MONEY_MARKET,333803.24,0.0347,0.00,ACTIVE,2021-05-28T09:20:13,
90,1546342922836196,68,12,SAVINGS,9533.92,0.0259,0.00,ACTIVE,2021-02-03T08:18:39,
91,6747666345007514,90,11,CD,471574.95,0.0165,0.00,ACTIVE,2021-06-06T00:42:52,
92,4247870939871181,59,16,SAVINGS,348798.50,0.0081,0.00,ACTIVE,2022-05-23T07:14:15,
93,9580362879173115,52,2,SAVINGS,40846.96,0.0015,0.00,ACTIVE,2022-05-02T17:52:21,
94,7107801812042145,196,18,BUSINESS,242176.09,0.0338,0.00,ACTIVE,2021-04-07T00:40:19,
95,9131918730211372,111,3,CHECKING,181236.64,0.0077,25.53,ACTIVE,2021-10-17T04:47:59,
96,3149464256242553,18,17,BUSINESS,158040.50,0.0291,0.00,ACTIVE,2020-05-09T10:35:47,
97,2060373717956282,197,20,SAVINGS,324108.36,0.0401,0.00,ACTIVE,2021-12-10T04:46:17,
98,8442386650742309,52,2,MONEY_MARKET,447354.96,0.0483,0.00,ACTIVE,2020-06-13T12:02:21,
99,1589088841596777,59,3,BUSINESS,404092.10,0.0392,0.00,ACTIVE,2020-04-18T02:18:24,
100,2045158243420050,36,12,CD,438992.97,0.0182,0.00,ACTIVE,2021-05-21T08:29:37,
101,2246257834978489,187,12,MONEY_MARKET,406817.05,0.0016,0.00,ACTIVE,2020-03-24T11:39:32,
102,3179365998879143,50,16,BUSINESS,231965.97,0.0172,0.00,ACTIVE,2021-12-23T22:48:36,
103,1813171762621216,190,20,BUSINESS,42572.75,0.0209,0.00,ACTIVE,2021-09-05T00:52:06,
104,6753500214333709,119,9,CHECKING,9605.55,0.0355,3039.31,ACTIVE,2020-03-19T17:49:09,
105,4092468712272661,87,11,CD,155111.38,0.0489,0.00,ACTIVE,2021-11-19T21:05:07,
106,8300796405461796,190,4,SAVINGS,380198.80,0.0108,0.00,ACTIVE,2021-06-01T19:14:08,
107,3826669277478064,71,6,CD,383471.99,0.0416,0.00,ACTIVE,2021-02-04T13:21:20,
108,7908757239569013,139,11,CHECKING,25070.10,0.0294,2508.12,ACTIVE,2021-06-14T18:58:50,
109,6372319101645549,65,12,CD,29297.77,0.0448,0.00,ACTIVE,2020-11-17T15:12:20,
110,7633516906856118,88,13,CHECKING,103137.92,0.0347,623.07,ACTIVE,2021-07-03T00:37:15,
111,8540629190253759,9,10,CHECKING,465004.31,0.0411,3854.32,ACTIVE,2022-02-23T08:28:45,
112,7983219299048116,134,12,CHECKING,309767.53,0.0159,4680.88,ACTIVE,2021-10-10T16:05:59,
113,6931112420655746,9,18,CD,192011.46,0.0432,0.00,ACTIVE,2021-10-30T01:39:36,
114,4033490666620736,140,12,BUSINESS,181791.05,0.0245,0.00,ACTIVE,2020-02-23T02:05:41,
115,2978841488071903,31,5,SAVINGS,457502.36,0.0472,0.00,ACTIVE,2022-12-27T13:52:46,
116,9519056358625179,182,20,CHECKING,350035.32,0.0079,1940.35,ACTIVE,2020-02-08T13:20:29,
117,3547680784548318,148,7,CHECKING,329432.44,0.0021,2893.09,ACTIVE,2020-03-29T06:44:18,
118,7316042363557402,124,12,BUSINESS,347548.65,0.0030,0.00,ACTIVE,2021-03-19T09:45:55,
119,2599933160556061,16,4,BUSINESS,92483.30,0.0226,0.00,ACTIVE,2021-12-02T07:50:47,
120,1569564386557569,117,8,MONEY_MARKET,67208.56,0.0063,0.00,ACTIVE,2020-06-25T18:21:36,
121,9156756584501609,199,15,CHECKING,121494.71,0.0124,4116.16,ACTIVE,2022-04-08T09:42:05,
122,2835775536040059,110,17,CHECKING,153051.71,0.0416,4659.57,ACTIVE,2022-09-19T15:32:11,
123,1162458106797623,67,17,CD,441712.80,0.0064,0.00,ACTIVE,2020-03-01T01:02:32,
124,4098802223535061,119,19,CHECKING,249330.20,0.0208,173.68,ACTIVE,2021-02-25T16:26:24,
125,1235539059991039,5,3,MONEY_MARKET,345947.10,0.0253,0.00,ACTIVE,2020-05-26T22:23:14,
126,5223598385586598,62,1,CD,238273.84,0.0443,0.00,ACTIVE,2020-05-06T00:40:09,
127,5540203762098022,22,1,SAVINGS,193260.32,0.0253,0.00,ACTIVE,2022-10-31T02:25:03,
128,5004021729070454,127,3,BUSINESS,372097.49,0.0027,0.00,ACTIVE,2022-12-06T19:57:21,
129,3660820469211093,169,6,CD,428042.93,0.0499,0.00,ACTIVE,2021-05-02T05:07:38,
130,3967568701627798,196,16,BUSINESS,296486.60,0.0167,0.00,ACTIVE,2022-09-24T19:54:06,
131,2250772090120308,110,19,MONEY_MARKET,256510.49,0.0242,0.00,ACTIVE,2020-08-27T08:06:41,
132,8829612915693367,190,10,SAVINGS,361482.80,0.0316,0.00,ACTIVE,2020-04-16T11:31:35,
133,2841578528631001,136,5,CHECKING,99301.17,0.0087,2422.35,ACTIVE,2022-01-27T21:12:19,
134,3481285136392853,2,2,SAVINGS,364268.79,0.0312,0.00,ACTIVE,2020-05-08T02:49:06,
135,8421455856662779,81,15,MONEY_MARKET,319458.48,0.0290,0.00,ACTIVE,2020-01-25T00:05:23,
136,3088971137731744,38,5,BUSINESS,428159.05,0.0379,0.00,ACTIVE,2021-12-26T02:09:06,
137,8045958977009742,84,6,SAVINGS,192794.43,0.0427,0.00,ACTIVE,2021-09-21T03:17:14,
138,4750201030389038,150,9,MONEY_MARKET,351127.69,0.0087,0.00,ACTIVE,2020-04-18T01:47:43,
139,2851172387957269,2,11,SAVINGS,302404.45,0.0234,0.00,ACTIVE,2020-03-13T13:21:56,
140,6165253961347282,17,14,CHECKING,357306.21,0.0200,2427.07,ACTIVE,2022-10-08T06:47:28,
141,1267955396076632,103,11,CD,487600.03,0.0449,0.00,ACTIVE,2020-04-16T10:22:42,
142,5518435035410941,19,7,BUSINESS,203305.24,0.0139,0.00,ACTIVE,2020-01-02T12:56:06,
143,5631844387686450,75,4,BUSINESS,104230.00,0.0347,0.00,ACTIVE,2022-03-19T06:14:30,
144,8151467719180848,129,9,SAVINGS,97931.76,0.0275,0.00,ACTIVE,2022-01-21T14:26:23,
145,5402767759842086,134,10,CHECKING,249980.15,0.0096,246.78,ACTIVE,2022-09-24T03:41:54,
146,4177750218872188,133,10,CD,255919.70,0.0206,0.00,ACTIVE,2020-06-13T02:16:12,
147,7008448365534731,13,20,MONEY_MARKET,118416.49,0.0347,0.00,ACTIVE,2022-02-10T15:16:30,
148,2445249384764755,21,9,CD,391717.63,0.0256,0.00,ACTIVE,2020-05-11T13:49:28,
149,4022973299963521,38,9,CHECKING,32729.75,0.0158,2112.09,ACTIVE,2021-10-07T03:04:24,
150,1631588784274835,1,15,BUSINESS,188035.28,0.0385,0.00,ACTIVE,2022-11-22T04:14:30,
151,9446992153464902,55,1,CHECKING,2510.06,0.0379,3982.66,ACTIVE,2022-01-28T21:25:54,
152,8597013779886982,87,12,CHECKING,280077.48,0.0195,1457.25,ACTIVE,2021-07-21T05:48:02,
153,3622166831043321,112,13,CD,62145.27,0.0023,0.00,ACTIVE,2022-09-19T15:58:20,
154,2022092071978231,120,19,CD,109087.19,0.0067,0.00,ACTIVE,2022-12-23T22:14:55,
155,1183655773056805,169,15,BUSINESS,370525.14,0.0251,0.00,ACTIVE,2020-11-25T08:49:44,
156,7000733999130786,87,5,SAVINGS,78509.43,0.0128,0.00,ACTIVE,2020-04-20T01:15:47,
157,8690803689664743,180,1,CHECKING,192457.56,0.0317,4728.93,ACTIVE,2021-10-28T17:50:42,
158,3268582142035132,2,19,MONEY_MARKET,497158.93,0.0481,0.00,ACTIVE,2020-08-29T11:36:20,
159,1786719248517869,61,7,CHECKING,213115.39,0.0354,4737.87,ACTIVE,2022-03-02T21:43:52,
160,9271467970905525,127,8,CHECKING,203563.27,0.0135,4757.92,ACTIVE,2020-09-26T00:31:56,
161,6927909814060894,85,17,CHECKING,128501.71,0.0337,2484.72,ACTIVE,2020-04-14T23:23:52,
162,6113923883270300,182,15,CD,336208.94,0.0461,0.00,ACTIVE,2022-02-28T16:00:36,
163,8176453432280326,66,6,SAVINGS,36301.27,0.0291,0.00,ACTIVE,2021-12-06T20:52:16,
164,2395122892198729,170,1,BUSINESS,401598.36,0.0428,0.00,ACTIVE,2022-03-25T10:30:00,
165,1232600592648950,10,20,MONEY_MARKET,136475.16,0.0114,0.00,ACTIVE,2021-11-12T15:14:07,
166,4235793215234300,197,14,CD,447184.63,0.0057,0.00,ACTIVE,2020-09-24T14:20:05,
167,5749535133397416,158,3,CHECKING,235410.28,0.0045,2114.09,ACTIVE,2020-01-25T14:29:44,
168,6511716095021530,148,15,BUSINESS,236082.78,0.0022,0.00,ACTIVE,2020-03-30T16:54:01,
169,1032484746958233,122,13,SAVINGS,499284.85,0.0035,0.00,ACTIVE,2022-02-15T09:55:54,
170,8732652174487952,117,5,CHECKING,85782.12,0.0149,1277.91,ACTIVE,2022-11-28T19:58:28,
171,4959792902819968,62,7,SAVINGS,250505.18,0.0364,0.00,ACTIVE,2020-05-17T11:12:21,
172,9562734874312271,117,18,CHECKING,414680.04,0.0110,585.52,ACTIVE,2020-11-15T04:17:29,
173,7564592310035975,86,9,BUSINESS,401518.46,0.0330,0.00,ACTIVE,2020-05-15T23:37:49,
174,6389415930999836,1,3,SAVINGS,289428.56,0.0442,0.00,ACTIVE,2022-06-20T20:05:43,
175,9639704922551229,196,17,BUSINESS,168395.44,0.0016,0.00,ACTIVE,2022-07-06T02:29:04,
176,5057010666959981,36,4,SAVINGS,77829.01,0.0241,0.00,ACTIVE,2021-04-12T12:44:58,
177,2983422028244933,33,1,MONEY_MARKET,360860.02,0.0141,0.00,ACTIVE,2021-08-06T17:19:50,
178,1751381948015416,35,20,CD,320646.80,0.0056,0.00,ACTIVE,2022-06-24T23:40:04,
179,4450832360043950,56,11,CD,496347.50,0.0488,0.00,ACTIVE,2022-09-30T18:58:35,
180,6130627689656961,65,20,CD,256660.50,0.0314,0.00,ACTIVE,2022-01-14T06:16:36,
181,1537166362570117,39,11,BUSINESS,206258.50,0.0159,0.00,ACTIVE,2020-09-24T22:42:49,
182,2048646963446110,109,12,MONEY_MARKET,42686.54,0.0054,0.00,ACTIVE,2022-01-19T13:48:26,
183,3521492376412348,45,10,CHECKING,172211.67,0.0280,119.45,ACTIVE,2021-01-05T05:45:54,
184,9614654835333607,142,16,CD,304087.74,0.0431,0.00,ACTIVE,2021-04-08T17:06:47,
185,5543138397526969,73,5,CHECKING,324272.41,0.0149,3711.65,ACTIVE,2020-06-23T08:55:11,
186,3927805227231624,177,7,CHECKING,210830.13,0.0232,2887.01,ACTIVE,2022-08-02T00:21:48,
187,8218421261804747,51,5,SAVINGS,376911.46,0.0204,0.00,ACTIVE,2022-07-29T23:14:11,
188,5034175932947662,117,13,MONEY_MARKET,198371.87,0.0223,0.00,ACTIVE,2022-02-23T21:09:10,
189,7191370849940715,181,7,CD,373077.08,0.0152,0.00,ACTIVE,2021-09-03T17:30:49,
190,8691953592626145,111,4,BUSINESS,432811.46,0.0490,0.00,ACTIVE,2021-07-28T10:53:16,
191,5857462926042213,200,11,BUSINESS,115569.62,0.0173,0.00,ACTIVE,2020-02-13T15:02:57,
192,6326724835102802,4,6,CHECKING,323084.75,0.0489,640.74,ACTIVE,2020-03-31T16:24:16,
193,3999438381046794,55,18,BUSINESS,140580.32,0.0436,0.00,ACTIVE,2020-03-26T14:30:38,
194,3645113524031165,67,2,MONEY_MARKET,340872.85,0.0333,0.00,ACTIVE,2020-01-24T04:03:24,
195,7857860649550476,7,11,MONEY_MARKET,320253.64,0.0228,0.00,ACTIVE,2021-12-07T19:36:55,
196,8104656133930992,109,4,MONEY_MARKET,210771.23,0.0403,0.00,ACTIVE,2020-04-06T03:54:49,
197,2664611133189154,78,20,CD,189961.51,0.0397,0.00,ACTIVE,2022-12-27T19:16:57,
198,1884036661260160,44,4,CHECKING,246979.08,0.0404,2286.53,ACTIVE,2022-12-20T20:37:05,
199,8238531056930757,2,7,MONEY_MARKET,470868.53,0.0360,0.00,ACTIVE,2022-02-01T23:03:35,
200,7605170937930519,88,6,SAVINGS,442846.88,0.0153,0.00,ACTIVE,2021-03-25T18:34:57,
201,2128370730598826,154,5,MONEY_MARKET,255563.46,0.0337,0.00,ACTIVE,2022-07-25T01:48:25,
202,6143376477456335,74,7,CHECKING,465285.62,0.0302,2840.05,ACTIVE,2021-06-10T08:58:14,
203,6131946273094158,90,20,MONEY_MARKET,406195.88,0.0259,0.00,ACTIVE,2021-11-18T04:41:00,
204,2413734748755642,86,19,CHECKING,46293.11,0.0273,1090.53,ACTIVE,2022-02-03T00:15:55,
205,2171178144819611,133,4,CHECKING,411811.55,0.0133,4920.97,ACTIVE,2021-08-17T08:41:09,
206,6714723334795723,179,11,BUSINESS,187299.24,0.0331,0.00,ACTIVE,2021-02-03T11:43:44,
207,6447123208061100,144,17,MONEY_MARKET,391785.69,0.0122,0.00,ACTIVE,2022-04-10T04:29:18,
208,2945465916160919,101,10,CD,454238.82,0.0144,0.00,ACTIVE,2022-01-27T07:11:47,
209,9389776474434228,69,4,CHECKING,342.76,0.0267,3835.42,ACTIVE,2021-12-18T23:44:27,
210,3778067827231767,118,4,MONEY_MARKET,230440.29,0.0189,0.00,ACTIVE,2020-04-13T05:06:18,
211,3130715147777048,200,4,MONEY_MARKET,87802.71,0.0221,0.00,ACTIVE,2022-03-24T06:40:36,
212,2566632782184659,195,19,MONEY_MARKET,56656.33,0.0230,0.00,ACTIVE,2020-04-23T04:18:14,
213,6800611757914414,101,15,MONEY_MARKET,409287.22,0.0464,0.00,ACTIVE,2021-09-08T23:08:09,
214,4895871741394262,57,12,MONEY_MARKET,161855.56,0.0135,0.00,ACTIVE,2021-04-28T08:07:46,
215,4486699744460080,173,20,BUSINESS,474582.78,0.0042,0.00,ACTIVE,2020-09-26T07:40:05,
216,6926451348395700,147,3,MONEY_MARKET,313777.57,0.0476,0.00,ACTIVE,2022-07-14T03:07:43,
217,5165192694887492,59,15,BUSINESS,346874.95,0.0120,0.00,ACTIVE,2021-01-29T07:09:38,
218,2875620499650429,19,17,SAVINGS,358610.72,0.0397,0.00,ACTIVE,2021-12-22T04:53:29,
219,8767226996013071,158,11,CHECKING,377158.45,0.0064,2651.14,ACTIVE,2022-09-14T18:14:50,
220,9276433238080749,178,16,CHECKING,137317.78,0.0450,2916.98,ACTIVE,2020-05-15T02:47:39,
221,8551745250498858,153,9,SAVINGS,480929.25,0.0434,0.00,ACTIVE,2022-05-25T21:41:31,
222,8877478352141980,4,13,MONEY_MARKET,7598.01,0.0032,0.00,ACTIVE,2021-08-04T02:30:12,
223,5921009488946878,81,20,SAVINGS,453647.99,0.0232,0.00,ACTIVE,2020-09-09T08:39:50,
224,4386987289409145,169,6,BUSINESS,325077.52,0.0066,0.00,ACTIVE,2020-07-21T19:25:41,
225,5966462942155312,57,6,CD,219129.88,0.0103,0.00,ACTIVE,2022-05-16T06:09:36,
226,1882051313426457,186,9,SAVINGS,362310.40,0.0117,0.00,ACTIVE,2021-07-19T02:03:31,
227,4986978301458004,193,15,CHECKING,490603.23,0.0418,110.98,ACTIVE,2021-08-22T04:12:34,
228,9891894924579759,168,11,CHECKING,397243.89,0.0328,2126.44,ACTIVE,2022-09-22T07:07:34,
229,9080347504875456,67,9,MONEY_MARKET,320851.83,0.0337,0.00,ACTIVE,2021-08-09T21:47:35,
230,1036406594654243,156,1,SAVINGS,459644.41,0.0103,0.00,ACTIVE,2020-04-19T08:25:36,
231,8347178027487160,137,17,CD,307104.53,0.0176,0.00,ACTIVE,2020-04-12T07:44:20,
232,3067238786406081,155,20,MONEY_MARKET,110372.37,0.0404,0.00,ACTIVE,2022-04-22T14:24:55,
233,9218373815883092,28,16,CD,416405.52,0.0390,0.00,ACTIVE,2022-07-28T17:34:28,
234,6503039057478727,76,7,MONEY_MARKET,89590.58,0.0355,0.00,ACTIVE,2020-07-01T11:42:00,
235,7461605170880990,147,18,CHECKING,364623.51,0.0382,4581.43,ACTIVE,2022-03-31T04:32:23,
236,6165485916942763,145,5,CHECKING,240424.76,0.0426,3211.57,ACTIVE,2021-08-01T17:56:35,
237,2910748526305457,129,4,CD,204654.98,0.0264,0.00,ACTIVE,2020-12-30T08:25:37,
238,5788355501305107,50,7,MONEY_MARKET,485440.04,0.0155,0.00,ACTIVE,2020-04-10T07:39:15,
239,2821177102481226,150,7,MONEY_MARKET,116244.72,0.0323,0.00,ACTIVE,2021-02-11T12:03:57,
240,4153692746389807,176,17,CHECKING,274896.97,0.0050,1203.63,ACTIVE,2022-08-29T09:39:55,
241,4103004141045152,26,16,BUSINESS,360731.82,0.0307,0.00,ACTIVE,2021-05-01T05:53:23,
242,4055319480869580,50,14,BUSINESS,164113.59,0.0305,0.00,ACTIVE,2021-10-28T04:09:54,
243,4430220677764373,83,19,CD,20859.63,0.0478,0.00,ACTIVE,2022-05-12T08:16:16,
244,6522076787796382,165,18,BUSINESS,172777.59,0.0289,0.00,ACTIVE,2021-08-28T11:51:55,
245,3668218423364560,133,19,CD,269987.23,0.0098,0.00,ACTIVE,2021-10-17T14:58:42,
246,2063950037320970,134,5,BUSINESS,69850.77,0.0432,0.00,ACTIVE,2021-07-29T05:36:17,
247,7184098418383617,87,8,BUSINESS,162757.21,0.0140,0.00,ACTIVE,2020-12-03T00:19:55,
248,3491720618274887,41,3,SAVINGS,31090.98,0.0129,0.00,ACTIVE,2021-05-04T02:07:04,
249,6781350897808680,136,2,BUSINESS,184719.61,0.0280,0.00,ACTIVE,2020-10-29T09:30:26,
250,3993054038550806,156,1,MONEY_MARKET,3025.27,0.0381,0.00,ACTIVE,2022-02-08T15:13:52,
251,7679120512898471,8,18,CHECKING,406429.77,0.0098,2899.95,ACTIVE,2022-11-13T07:15:00,
252,5864582959668480,169,13,CD,274306.70,0.0134,0.00,ACTIVE,2022-08-11T10:38:22,
253,2534193053639292,179,16,CHECKING,392652.21,0.0182,3551.42,ACTIVE,2021-06-04T01:04:39,
