address_id,customer_id,label,street_line1,street_line2,city,state,postal_code,country,is_default,created_at
130,153,Home,8278 Main St,Apt 49,New York,NY,92759,USA,TRUE,2025-12-25T21:29:40.818336
131,198,Other,5625 Main St,Apt 100,Houston,TX,48902,USA,TRUE,2026-03-02T06:16:27.818336
132,108,Home,7503 Main St,,Los Angeles,AZ,68077,USA,FALSE,2025-05-04T14:35:50.818336
133,32,Work,5699 Main St,Apt 59,Chicago,TX,74855,USA,TRUE,2026-03-15T08:32:43.818336
134,123,Home,772 Main St,Apt 78,Los Angeles,CA,29452,USA,TRUE,2025-06-03T13:21:50.818336
135,151,Other,9062 Main St,Apt 43,New York,NY,52482,USA,TRUE,2026-03-23T10:46:29.818336
136,36,Work,7947 Main St,Apt 84,New York,NY,15229,USA,TRUE,2025-03-10T15:31:57.818336
137,141,Work,6445 Main St,Apt 24,New York,TX,57542,USA,FALSE,2024-10-15T02:41:02.818336
138,101,Home,7189 Main St,,Chicago,TX,10506,USA,TRUE,2025-02-03T12:05:50.818336
139,166,Other,2594 Main St,Apt 58,Chicago,TX,23080,USA,TRUE,2025-09-21T02:52:42.818336
140,169,Other,527 Main St,Apt 84,Chicago,AZ,70376,USA,FALSE,2025-07-17T23:47:53.818336
141,174,Home,8900 Main St,Apt 87,Chicago,AZ,74792,USA,TRUE,2026-01-19T09:00:40.818336
142,69,Home,6796 Main St,,Los Angeles,AZ,41092,USA,TRUE,2026-03-13T04:26:39.818336
143,131,Home,6402 Main St,Apt 77,Houston,TX,82468,USA,FALSE,2025-03-22T18:51:39.818336
144,105,Other,9349 Main St,Apt 25,Houston,CA,36507,USA,TRUE,2025-05-13T15:26:48.818336
145,100,Work,7680 Main St,Apt 11,Phoenix,IL,94381,USA,TRUE,2024-09-25T08:00:58.818336
146,151,Work,1001 Main St,,Chicago,IL,64663,USA,FALSE,2025-03-24T15:12:50.818336
147,1,Work,5216 Main St,Apt 82,Chicago,NY,19857,USA,TRUE,2025-01-01T02:43:01.818336
148,85,Home,1819 Main St,Apt 80,Chicago,CA,36681,USA,TRUE,2024-11-30T07:23:17.818336
149,41,Other,8206 Main St,,Los Angeles,IL,52508,USA,TRUE,2025-06-29T10:35:20.818336
150,114,Work,5792 Main St,Apt 40,New York,IL,53952,USA,FALSE,2026-04-18T08:49:39.818336
151,161,Work,6998 Main St,,Houston,CA,52689,USA,TRUE,2026-07-06T15:09:49.818336
152,94,Home,9608 Main St,Apt 24,New York,IL,66874,USA,TRUE,2025-06-23T09:39:30.818336
153,169,Work,5665 Main St,Apt 64,New York,TX,92067,USA,FALSE,2025-01-08T22:48:58.818336
154,126,Work,5836 Main St,Apt 13,New York,TX,71722,USA,FALSE,2025-07-01T08:22:55.818336
155,147,Other,5907 Main St,Apt 4,Los Angeles,TX,92887,USA,TRUE,2025-12-06T19:55:15.818336
156,46,Work,5058 Main St,,Los Angeles,IL,18388,USA,FALSE,2026-01-23T11:03:07.818336
157,172,Home,7862 Main St,,Phoenix,AZ,85199,USA,TRUE,2026-04-05T09:25:21.818336
158,120,Other,471 Main St,Apt 46,Phoenix,TX,99293,USA,FALSE,2024-09-16T20:09:33.818336
159,49,Other,8292 Main St,Apt 5,Chicago,CA,53931,USA,TRUE,2026-02-08T07:33:06.818336
160,75,Work,9914 Main St,Apt 55,Phoenix,CA,25527,USA,TRUE,2026-04-06T05:23:51.818336
161,21,Work,4473 Main St,,New York,CA,26435,USA,FALSE,2025-10-23T04:17:49.818336
162,94,Home,3624 Main St,,New York,IL,47984,USA,TRUE,2025-01-01T04:25:32.818336
163,153,Other,3415 Main St,Apt 89,Los Angeles,TX,82130,USA,FALSE,2024-12-12T05:52:43.818336
164,118,Work,6281 Main St,Apt 13,Los Angeles,CA,16712,USA,TRUE,2025-11-30T10:32:59.818336
165,67,Home,1778 Main St,,New York,IL,38088,USA,FALSE,2026-07-16T21:46:01.818336
166,136,Other,5926 Main St,,Los Angeles,IL,58988,USA,FALSE,2025-11-29T23:54:31.818336
167,192,Work,5502 Main St,Apt 60,Phoenix,IL,74942,USA,FALSE,2025-11-05T04:05:46.818336
168,137,Other,6415 Main St,Apt 56,Houston,NY,90520,USA,TRUE,2025-08-14T04:35:35.818336
169,97,Work,2284 Main St,,Houston,NY,64120,USA,TRUE,2024-10-10T12:02:48.818336
170,93,Work,4824 Main St,,Chicago,NY,12172,USA,FALSE,2026-07-20T13:15:02.818336
171,81,Work,9506 Main St,,New York,NY,17074,USA,FALSE,2025-05-07T16:55:39.818336
172,139,Home,629 Main St,Apt 68,Phoenix,AZ,98115,USA,TRUE,2025-04-20T00:27:19.818336
173,171,Home,9532 Main St,Apt 71,New York,TX,75461,USA,TRUE,2025-02-04T10:13:38.818336
174,176,Other,9403 Main St,Apt 83,Houston,AZ,46163,USA,FALSE,2026-04-07T20:40:43.818336
175,26,Home,6076 Main St,Apt 67,Phoenix,AZ,78198,USA,FALSE,2026-05-21T20:18:38.818336
176,198,Work,8882 Main St,Apt 12,New York,TX,50206,USA,TRUE,2025-12-04T01:48:47.818336
177,66,Work,7309 Main St,,New York,CA,71902,USA,FALSE,2025-12-10T01:41:53.818336
178,58,Work,3337 Main St,,Houston,TX,18874,USA,FALSE,2025-02-21T19:00:26.818336
179,113,Other,1723 Main St,Apt 64,Houston,NY,54964,USA,FALSE,2025-04-03T00:50:32.818336
180,48,Work,1766 Main St,,Phoenix,NY,28612,USA,FALSE,2026-01-16T07:24:44.818336
181,113,Other,1178 Main St,,Los Angeles,AZ,67656,USA,FALSE,2026-03-24T13:34:50.818336
182,133,Work,1828 Main St,Apt 55,Houston,NY,11775,USA,TRUE,2026-01-23T09:12:05.818336
183,29,Work,979 Main St,Apt 23,Phoenix,TX,21318,USA,FALSE,2025-02-19T03:33:35.818336
184,182,Other,3134 Main St,Apt 39,New York,AZ,12194,USA,FALSE,2025-11-21T03:44:20.818336
185,91,Other,2963 Main St,,Los Angeles,IL,25826,USA,FALSE,2025-08-10T15:40:49.818336
186,174,Other,1122 Main St,,Houston,AZ,39599,USA,FALSE,2026-02-25T20:49:12.818336
187,125,Work,7971 Main St,Apt 48,Chicago,AZ,67273,USA,TRUE,2025-07-30T19:44:55.818336
188,55,Other,9404 Main St,Apt 23,Chicago,IL,76252,USA,TRUE,2026-05-21T00:37:04.818336
189,47,Work,4816 Main St,Apt 26,New York,AZ,82899,USA,TRUE,2025-02-10T19:42:20.818336
190,105,Other,2689 Main St,,Phoenix,TX,92345,USA,TRUE,2026-06-20T04:14:28.818336
191,146,Work,1842 Main St,,Chicago,CA,66266,USA,FALSE,2025-03-15T02:21:11.818336
192,168,Work,6307 Main St,Apt 87,New York,CA,51473,USA,FALSE,2026-03-19T11:41:01.818336
193,75,Work,1686 Main St,,Houston,TX,11772,USA,TRUE,2025-07-18T19:56:39.818336
194,83,Home,2953 Main St,Apt 29,Los Angeles,TX,99727,USA,FALSE,2026-03-26T21:31:35.818336
195,122,Home,7563 Main St,Apt 61,Phoenix,NY,14004,USA,TRUE,2025-08-17T16:06:56.818336
196,194,Other,2400 Main St,Apt 100,Chicago,TX,99154,USA,FALSE,2026-02-24T11:23:30.818336
197,1,Other,3101 Main St,,Chicago,CA,20155,USA,TRUE,2025-03-11T17:11:30.818336
198,9,Other,1889 Main St,,Chicago,IL,30321,USA,FALSE,2026-08-07T18:50:19.818336
199,60,Other,8279 Main St,Apt 34,Chicago,IL,74720,USA,FALSE,2024-11-20T07:44:06.818336
200,94,Other,6778 Main St,Apt 56,Los Angeles,TX,19888,USA,FALSE,2025-10-19T21:46:39.818336
201,117,Other,2045 Main St,Apt 79,Phoenix,TX,68994,USA,FALSE,2024-09-23T21:56:23.818336
202,193,Other,2275 Main St,,Chicago,NY,14716,USA,TRUE,2025-07-11T07:04:09.818336
203,142,Work,4546 Main St,,Phoenix,AZ,12724,USA,FALSE,2025-08-30T03:48:30.818336
204,91,Home,8708 Main St,,Houston,TX,45070,USA,FALSE,2025-10-04T19:54:46.818336
205,10,Work,6794 Main St,Apt 33,New York,CA,48327,USA,FALSE,2025-08-22T16:54:35.818336
206,167,Work,1451 Main St,,Houston,IL,62298,USA,FALSE,2025-01-29T02:48:49.818336
207,53,Home,9635 Main St,,Phoenix,IL,29570,USA,FALSE,2025-01-16T05:20:45.818336
208,153,Work,9723 Main St,,New York,CA,54087,USA,FALSE,2025-03-20T21:52:10.818336
209,198,Other,9625 Main St,,New York,IL,79254,USA,FALSE,2026-06-02T11:10:21.818336
210,18,Home,3508 Main St,,Phoenix,CA,30449,USA,FALSE,2025-10-14T06:00:18.818336
211,138,Other,7834 Main St,Apt 57,Los Angeles,IL,27660,USA,TRUE,2026-06-16T22:27:20.818336
212,184,Other,337 Main St,,Houston,NY,51490,USA,TRUE,2026-04-15T19:22:45.818336
213,53,Other,8374 Main St,Apt 21,Chicago,AZ,55148,USA,FALSE,2025-03-04T05:12:28.818336
214,56,Other,9448 Main St,Apt 65,Phoenix,IL,73017,USA,FALSE,2025-12-25T08:05:22.818336
215,21,Other,5678 Main St,Apt 33,Houston,CA,68582,USA,TRUE,2025-04-23T09:18:35.818336
216,86,Home,9221 Main St,,Houston,IL,91071,USA,TRUE,2025-07-17T08:50:07.818336
217,5,Work,5410 Main St,,Chicago,AZ,37584,USA,TRUE,2025-03-12T16:06:11.818336
218,136,Home,215 Main St,Apt 9,New York,CA,25076,USA,FALSE,2025-07-24T23:24:06.818336
219,18,Work,7719 Main St,,Phoenix,TX,19637,USA,TRUE,2026-06-19T07:57:35.818336
220,148,Work,215 Main St,,Phoenix,TX,67816,USA,FALSE,2026-01-30T09:37:31.818336
221,17,Work,6214 Main St,,Houston,NY,79188,USA,TRUE,2024-12-13T22:31:35.818336
222,140,Work,1904 Main St,Apt 78,Houston,TX,90835,USA,FALSE,2024-11-14T03:48:52.818336
223,15,Work,1992 Main St,Apt 96,Chicago,IL,43417,USA,TRUE,2025-08-09T08:12:50.818336
224,179,Work,1981 Main St,Apt 49,Houston,NY,31330,USA,FALSE,2025-12-24T06:50:57.818336
225,57,Work,3500 Main St,Apt 24,Phoenix,NY,83263,USA,TRUE,2025-02-23T04:17:13.818336
226,192,Other,7362 Main St,Apt 92,Los Angeles,IL,15783,USA,FALSE,2025-04-24T17:13:33.818336
227,171,Home,8908 Main St,,Houston,TX,77564,USA,FALSE,2025-03-03T17:49:53.818336
228,156,Other,3448 Main St,,Chicago,TX,10554,USA,TRUE,2025-05-06T09:34:39.818336
229,121,Work,7704 Main St,Apt 56,Chicago,CA,84789,USA,FALSE,2026-09-01T08:55:45.818336
230,66,Work,8812 Main St,Apt 33,Chicago,AZ,38836,USA,TRUE,2025-08-01T04:06:53.818336
231,101,Work,4965 Main St,,Los Angeles,TX,43967,USA,FALSE,2025-04-04T15:50:43.818336
232,154,Work,9369 Main St,,Phoenix,NY,56325,USA,FALSE,2025-02-08T10:47:52.818336
233,188,Home,319 Main St,Apt 62,Houston,CA,31078,USA,FALSE,2025-09-23T07:48:31.818336
234,19,Other,7282 Main St,,Phoenix,IL,12717,USA,FALSE,2025-12-29T09:03:37.818336
235,176,Home,5334 Main St,,Phoenix,TX,12110,USA,TRUE,2025-04-26T16:34:30.818336
236,121,Home,7042 Main St,,Houston,TX,55224,USA,FALSE,2025-06-09T19:08:33.818336
237,113,Other,907 Main St,Apt 44,Los Angeles,CA,77481,USA,TRUE,2026-06-18T21:48:51.818336
238,181,Work,669 Main St,,Houston,NY,72155,USA,FALSE,2026-08-21T05:28:15.818336
239,129,Other,5145 Main St,Apt 40,New York,TX,54288,USA,TRUE,2025-01-02T05:02:51.818336
240,162,Work,7432 Main St,,Phoenix,NY,23829,USA,TRUE,2025-10-25T17:09:48.818336
241,188,Other,8971 Main St,,Los Angeles,NY,55186,USA,TRUE,2025-04-28T16:35:27.818336
242,168,Work,3098 Main St,Apt 84,Los Angeles,AZ,43505,USA,FALSE,2026-07-20T07:55:18.818336
243,154,Home,3303 Main St,,Phoenix,IL,65171,USA,FALSE,2026-08-11T01:48:54.818336
244,138,Home,4137 Main St,,Los Angeles,NY,11707,USA,FALSE,2025-06-10T04:25:26.818336
245,105,Home,5131 Main St,,Houston,NY,34862,USA,FALSE,2025-05-19T10:18:37.818336
246,84,Other,6591 Main St,,Phoenix,IL,66344,USA,TRUE,2025-01-15T18:32:34.818336
247,67,Work,239 Main St,,Chicago,TX,24401,USA,FALSE,2024-12-30T15:45:55.818336
248,88,Other,7594 Main St,,Chicago,IL,15387,USA,FALSE,2026-03-15T18:18:56.818336
249,95,Home,9487 Main St,,Phoenix,TX,43934,USA,TRUE,2026-03-02T13:54:54.818336
250,112,Home,3134 Main St,,Los Angeles,CA,73076,USA,TRUE,2024-11-06T19:59:03.818336
